Time,,Page load time
2018/12/12 18:48:00,PST,440.0
2018/12/12 19:32:00,PST,392.0
2018/12/12 20:16:00,PST,377.0
2018/12/12 21:00:00,PST,506.0
2018/12/12 21:44:00,PST,297.0
2018/12/12 22:28:00,PST,372.0
2018/12/12 23:12:00,PST,341.0
2018/12/12 23:56:00,PST,1185.0
2018/12/13 00:40:00,PST,487.0
2018/12/13 01:24:00,PST,364.0
2018/12/13 02:08:00,PST,374.0
2018/12/13 02:52:00,PST,290.0
2018/12/13 03:36:00,PST,1273.0
2018/12/13 04:20:00,PST,461.0
2018/12/13 05:04:00,PST,402.0
2018/12/13 05:48:00,PST,465.0
2018/12/13 06:32:00,PST,323.0
2018/12/13 07:16:00,PST,417.0
2018/12/13 08:00:00,PST,303.0
2018/12/13 08:44:00,PST,358.0
2018/12/13 09:28:00,PST,415.0
2018/12/13 10:12:00,PST,313.0
2018/12/13 10:56:00,PST,409.0
2018/12/13 11:40:00,PST,288.0
2018/12/13 12:24:00,PST,297.0
2018/12/13 13:08:00,PST,382.0
2018/12/13 13:52:00,PST,293.0
2018/12/13 14:36:00,PST,288.0
2018/12/13 15:20:00,PST,517.0
2018/12/13 16:04:00,PST,301.0
2018/12/13 16:48:00,PST,319.0
2018/12/13 17:32:00,PST,509.0
2018/12/13 18:16:00,PST,325.0
2018/12/13 19:00:00,PST,479.0
2018/12/13 19:44:00,PST,413.0
2018/12/13 20:28:00,PST,841.0
2018/12/13 21:12:00,PST,280.0
2018/12/13 21:56:00,PST,327.0
2018/12/13 22:40:00,PST,650.0
2018/12/13 23:24:00,PST,416.0
2018/12/14 00:08:00,PST,354.0
2018/12/14 00:52:00,PST,373.0
2018/12/14 01:36:00,PST,306.0
2018/12/14 02:20:00,PST,551.0
2018/12/14 03:04:00,PST,374.0
2018/12/14 03:48:00,PST,389.0
2018/12/14 04:32:00,PST,305.0
2018/12/14 05:16:00,PST,324.0
2018/12/14 06:00:00,PST,518.0
2018/12/14 06:44:00,PST,903.0
2018/12/14 07:28:00,PST,384.0
2018/12/14 08:12:00,PST,329.0
2018/12/14 08:56:00,PST,544.0
2018/12/14 09:40:00,PST,317.0
2018/12/14 10:24:00,PST,335.0
2018/12/14 11:08:00,PST,392.0
2018/12/14 11:52:00,PST,374.0
2018/12/14 12:36:00,PST,730.0
2018/12/14 13:20:00,PST,536.0
2018/12/14 14:04:00,PST,304.0
2018/12/14 14:48:00,PST,409.0
