Time,,cpu_usagePercentCores
2018/12/09 13:48:00,PST,12.218863636363638
2018/12/09 14:32:00,PST,10.148636363636367
2018/12/09 15:16:00,PST,11.237045454545456
2018/12/09 16:00:00,PST,11.777272727272726
2018/12/09 16:44:00,PST,11.717272727272727
2018/12/09 17:28:00,PST,11.510454545454547
2018/12/09 18:12:00,PST,11.017727272727276
2018/12/09 18:56:00,PST,11.834545454545456
2018/12/09 19:40:00,PST,11.746818181818183
2018/12/09 20:24:00,PST,11.346590909090908
2018/12/09 21:08:00,PST,11.569090909090907
2018/12/09 21:52:00,PST,11.334772727272725
2018/12/09 22:36:00,PST,12.413863636363631
2018/12/09 23:20:00,PST,10.705681818181818
2018/12/10 00:04:00,PST,12.143409090909087
2018/12/10 00:48:00,PST,11.782045454545454
2018/12/10 01:32:00,PST,11.20431818181818
2018/12/10 02:16:00,PST,10.972045454545453
2018/12/10 03:00:00,PST,11.388409090909093
2018/12/10 03:44:00,PST,11.47340909090909
2018/12/10 04:28:00,PST,11.544318181818182
2018/12/10 05:12:00,PST,10.668181818181816
2018/12/10 05:56:00,PST,12.655909090909093
2018/12/10 06:40:00,PST,11.615454545454547
2018/12/10 07:24:00,PST,12.462045454545454
2018/12/10 08:08:00,PST,11.953409090909092
2018/12/10 08:52:00,PST,11.734545454545453
2018/12/10 09:36:00,PST,11.513863636363638
2018/12/10 10:20:00,PST,11.565454545454546
2018/12/10 11:04:00,PST,11.862045454545456
2018/12/10 11:48:00,PST,11.97840909090909
2018/12/10 12:32:00,PST,11.75068181818182
2018/12/10 13:16:00,PST,11.12909090909091
2018/12/10 14:00:00,PST,11.122045454545455
2018/12/10 14:44:00,PST,12.203636363636365
2018/12/10 15:28:00,PST,11.277045454545457
2018/12/10 16:12:00,PST,11.182727272727277
2018/12/10 16:56:00,PST,11.297500000000001
2018/12/10 17:40:00,PST,11.472045454545453
2018/12/10 18:24:00,PST,11.082954545454543
2018/12/10 19:08:00,PST,10.831136363636363
2018/12/10 19:52:00,PST,11.868181818181819
2018/12/10 20:36:00,PST,11.417272727272724
2018/12/10 21:20:00,PST,11.487272727272725
2018/12/10 22:04:00,PST,11.061363636363637
2018/12/10 22:48:00,PST,11.30866666666667
2018/12/10 23:32:00,PST,11.570227272727275
2018/12/11 00:16:00,PST,10.972499999999998
2018/12/11 01:00:00,PST,11.867045454545455
2018/12/11 01:44:00,PST,11.554772727272727
2018/12/11 02:28:00,PST,11.76931818181818
2018/12/11 03:12:00,PST,11.282045454545456
2018/12/11 03:56:00,PST,12.116818181818182
2018/12/11 04:40:00,PST,11.70613636363636
2018/12/11 05:24:00,PST,11.879545454545452
2018/12/11 06:08:00,PST,11.784772727272726
2018/12/11 06:52:00,PST,11.618863636363633
2018/12/11 07:36:00,PST,11.687954545454543
2018/12/11 08:20:00,PST,11.362272727272723
2018/12/11 09:04:00,PST,11.038409090909092
2018/12/11 09:48:00,PST,11.896818181818183
2018/12/11 10:32:00,PST,11.289772727272725
2018/12/11 11:16:00,PST,10.684772727272728
2018/12/11 12:00:00,PST,11.31590909090909
2018/12/11 12:44:00,PST,11.780227272727272
2018/12/11 13:28:00,PST,12.001333333333335
2018/12/11 14:12:00,PST,11.322045454545457
2018/12/11 14:56:00,PST,10.852272727272727
2018/12/11 15:40:00,PST,11.977499999999997
2018/12/11 16:24:00,PST,11.72318181818182
